pushups,pushups points
67,20
66,19.8
65,19.6
64,19.4
63,19.2
62,19
61,18.8
60,18.6
59,18.4
58,18.2
57,18
56,17.8
55,17.7
54,17.6
53,17.4
52,17.2
51,17
50,16.8
49,16.6
48,16.2
47,16
46,15.6
45,15.4
44,15
43,14.6
42,14.4
41,14
40,13.6
39,13
38,12.6
37,12
36,11.6
35,11
34,10.6
33,10
32,7
31,4
30,1
