situps,situps points
58,20
57,19.7
56,19.4
55,19
54,18.8
53,18.4
52,18
51,17.6
50,17.4
49,17
48,16.6
47,16
46,15
45,14
44,13
43,12.6
42,12
41,9
40,6
39,3
